epoch,accuracy,loss,lr,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.6482917666435242,1.411428689956665,0.001,0.8614005446434021,0.9130648374557495,0.2659151256084442,0.9960707426071167
1,0.825599730014801,0.6089235544204712,0.001,0.9750424027442932,0.9223968386650085,0.2512509226799011,0.9948428273200989
2,0.8475284576416016,0.5255435705184937,0.001,0.9802520275115967,0.9263261556625366,0.2437753826379776,0.9958251714706421
3,0.8600678443908691,0.4728774130344391,0.001,0.9846740961074829,0.9236247539520264,0.2440476268529892,0.9953339695930481
4,0.8692755103111267,0.4398447573184967,0.001,0.9859461784362793,0.9250982403755188,0.24886085093021393,0.9948428273200989
5,0.8764235377311707,0.42108896374702454,0.001,0.986430823802948,0.9312376976013184,0.23360563814640045,0.9953339695930481
6,0.8818754553794861,0.4040488302707672,0.001,0.9892173409461975,0.9297642707824707,0.24145159125328064,0.9945972561836243
7,0.8829052448272705,0.39280861616134644,0.001,0.9898837208747864,0.9305009841918945,0.24157792329788208,0.9950883984565735
8,0.8877514004707336,0.37477725744247437,0.001,0.99000483751297,0.9307465553283691,0.2530461251735687,0.9945972561836243
9,0.9056820869445801,0.30620789527893066,0.0005,0.9936394691467285,0.9341846704483032,0.23353055119514465,0.9955795407295227
10,0.9154349565505981,0.28086286783218384,0.0005,0.9941846132278442,0.9329567551612854,0.23451854288578033,0.9963163137435913
11,0.9173128008842468,0.2629929184913635,0.0005,0.995335578918457,0.9329567551612854,0.23696964979171753,0.9958251714706421
12,0.9266416430473328,0.23855651915073395,0.00025,0.9957596063613892,0.9324656128883362,0.23542238771915436,0.9963163137435913
13,0.9300944805145264,0.22329336404800415,0.00025,0.9965471029281616,0.9344302415847778,0.2365729659795761,0.9960707426071167
14,0.9306396842002869,0.21502240002155304,0.00025,0.9961836934089661,0.9359037280082703,0.23696783185005188,0.9963163137435913
15,0.9331839084625244,0.20893438160419464,0.000125,0.9966077208518982,0.9359037280082703,0.23658643662929535,0.9965618848800659
16,0.9367579221725464,0.1960557997226715,0.000125,0.9978192448616028,0.9371316432952881,0.23756195604801178,0.9963163137435913
17,0.9370002150535583,0.2008722424507141,0.000125,0.996910572052002,0.9383594989776611,0.23795755207538605,0.9960707426071167
18,0.9373031258583069,0.1943638026714325,6.25e-05,0.9976375102996826,0.9378683567047119,0.23883862793445587,0.9960707426071167
19,0.9403925538063049,0.18204714357852936,6.25e-05,0.9984855651855469,0.9371316432952881,0.23860976099967957,0.9963163137435913
