epoch,accuracy,loss,lr,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.39223405718803406,2.3924968242645264,0.001,0.7104434370994568,0.7752947211265564,0.7464131116867065,0.9710215926170349
1,0.5883814096450806,1.4526309967041016,0.001,0.8876908421516418,0.7858546376228333,0.6712134480476379,0.9756876230239868
2,0.6218197345733643,1.2930488586425781,0.001,0.9091349840164185,0.7944499254226685,0.6379984021186829,0.9754420518875122
3,0.6565907597541809,1.1850640773773193,0.001,0.9190695285797119,0.8052554130554199,0.6052072644233704,0.9771611094474792
4,0.6727647185325623,1.135421872138977,0.001,0.9250060319900513,0.8109037280082703,0.6253507137298584,0.976178765296936
5,0.6843348741531372,1.0796717405319214,0.001,0.9318512082099915,0.8074656128883362,0.6185982823371887,0.9742141366004944
6,0.6908771395683289,1.043410301208496,0.001,0.9353041052818298,0.8165520429611206,0.596356213092804,0.9783890247344971
7,0.7008723020553589,1.0167222023010254,0.001,0.9373636841773987,0.8138507008552551,0.5956665277481079,0.9781433939933777
8,0.7154712677001953,0.9690096974372864,0.001,0.9429367780685425,0.8192534446716309,0.601424515247345,0.9778978228569031
9,0.7168039679527283,0.9508075714111328,0.001,0.9441483020782471,0.8170432448387146,0.6186279654502869,0.9774066805839539
10,0.7221347093582153,0.9434172511100769,0.001,0.9455415606498718,0.8177799582481384,0.5956614017486572,0.9764243364334106
11,0.7546038031578064,0.8294797539710999,0.0005,0.9574751853942871,0.8276031613349915,0.5716305375099182,0.9756876230239868
12,0.7606614828109741,0.7834786176681519,0.0005,0.9608069062232971,0.8352161049842834,0.574420690536499,0.9776522517204285
13,0.7722316384315491,0.7495919466018677,0.0005,0.9647443890571594,0.833742618560791,0.5783531665802002,0.9756876230239868
14,0.7811970114707947,0.7194541692733765,0.0005,0.9666222333908081,0.8332514762878418,0.5883782505989075,0.9781433939933777
15,0.7890113592147827,0.6821271181106567,0.00025,0.9708020091056824,0.8366895914077759,0.5781644582748413,0.9781433939933777
16,0.8005815148353577,0.6661723256111145,0.00025,0.9714683890342712,0.8393909335136414,0.5796646475791931,0.9769155383110046
17,0.7980372905731201,0.6489753127098083,0.00025,0.9739519953727722,0.8374263048171997,0.5779330134391785,0.9786345958709717
18,0.8094257116317749,0.6195903420448303,0.000125,0.974860668182373,0.8391453623771667,0.5743868350982666,0.9778978228569031
19,0.8121516704559326,0.6191229820251465,0.000125,0.9733462333679199,0.8396365642547607,0.5776963829994202,0.976178765296936
