epoch,accuracy,loss,lr,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.9367579221725464,0.1885160356760025,1e-05,0.997758686542511,0.9359037280082703,0.23747284710407257,0.9963163137435913
1,0.9427550435066223,0.17555354535579681,1e-05,0.9976375102996826,0.9373772144317627,0.24082869291305542,0.9965618848800659
2,0.9417858123779297,0.17603734135627747,1e-05,0.9981220960617065,0.9371316432952881,0.23481863737106323,0.9963163137435913
3,0.9464502334594727,0.16193890571594238,1e-05,0.9983038306236267,0.9376227855682373,0.23940806090831757,0.9963163137435913
4,0.9436030983924866,0.16490301489830017,1e-05,0.9984855651855469,0.9356581568717957,0.2442263662815094,0.9965618848800659
5,0.9469953775405884,0.15717831254005432,1e-05,0.9980615377426147,0.9356581568717957,0.23936793208122253,0.9965618848800659
6,0.9483886361122131,0.15536439418792725,5e-06,0.9983038306236267,0.9371316432952881,0.23329533636569977,0.9963163137435913
7,0.9506905674934387,0.14814503490924835,5e-06,0.9985461831092834,0.9363948702812195,0.24112392961978912,0.9963163137435913
8,0.9524472951889038,0.14165760576725006,5e-06,0.9986067414283752,0.935412585735321,0.24349987506866455,0.9960707426071167
9,0.950387716293335,0.14398255944252014,5e-06,0.9987884759902954,0.9356581568717957,0.2396894097328186,0.9960707426071167
10,0.9508723020553589,0.1455988734960556,2.5e-06,0.9983038306236267,0.9366405010223389,0.23637063801288605,0.9963163137435913
11,0.9534770846366882,0.14262719452381134,2.5e-06,0.9983644485473633,0.9361492991447449,0.23573267459869385,0.9963163137435913
