epoch,accuracy,loss,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.043191179633140564,4.400936126708984,0.1612551510334015,0.05697445943951607,4.296563625335693,0.20751473307609558
1,0.05142961069941521,4.274378776550293,0.19069541990756989,0.07195481657981873,4.2085161209106445,0.22568762302398682
2,0.05518536642193794,4.20361852645874,0.2098982334136963,0.07760314643383026,4.090928077697754,0.2588408589363098
3,0.061061304062604904,4.144558429718018,0.21977223455905914,0.07858546078205109,4.051059246063232,0.26080548763275146
4,0.06693724542856216,4.086185455322266,0.23855100572109222,0.09503929316997528,3.92775821685791,0.3072200417518616
5,0.0696026161313057,4.039435386657715,0.2510903775691986,0.08889980614185333,3.9387664794921875,0.30230844020843506
6,0.07608432322740555,3.9819064140319824,0.2676278054714203,0.10903732478618622,3.8338372707366943,0.32760313153266907
7,0.08456505835056305,3.9268736839294434,0.2823479473590851,0.11321218311786652,3.7744600772857666,0.3536345660686493
8,0.08553428947925568,3.882155418395996,0.29101040959358215,0.12229862809181213,3.7380383014678955,0.35216110944747925
9,0.09540828317403793,3.829873561859131,0.30803248286247253,0.13899803161621094,3.65897798538208,0.3789292871952057
10,0.10019384324550629,3.780578851699829,0.31942087411880493,0.149557963013649,3.60811185836792,0.4029960632324219
11,0.1035255640745163,3.72819447517395,0.3369275629520416,0.15569745004177094,3.5412540435791016,0.42264243960380554
12,0.1153985932469368,3.6787941455841064,0.35443422198295593,0.17288801074028015,3.4686849117279053,0.43958741426467896
13,0.1272110491991043,3.606881618499756,0.3756966292858124,0.16895873844623566,3.4165050983428955,0.4457269012928009
14,0.13756966590881348,3.549137830734253,0.3875696659088135,0.1836935132741928,3.4382452964782715,0.449410617351532
15,0.13884177803993225,3.507159948348999,0.40083596110343933,0.20751473307609558,3.278672456741333,0.4906679689884186
16,0.1555609405040741,3.4413936138153076,0.41646474599838257,0.22323182225227356,3.2262609004974365,0.508104145526886
17,0.16022534668445587,3.3923516273498535,0.4299733340740204,0.2124263197183609,3.2725281715393066,0.4948428273200989
18,0.16834262013435364,3.3366074562072754,0.44439059495925903,0.24336935579776764,3.13349986076355,0.5400294661521912
19,0.1797916144132614,3.2685422897338867,0.468197226524353,0.24287819862365723,3.1114394664764404,0.5442042946815491
