epoch,accuracy,loss,lr,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.8406227231025696,0.5012054443359375,2.5e-06,0.9818270206451416,0.8411099910736084,0.5799075365066528,0.9759331941604614
1,0.8422582745552063,0.5007599592208862,5e-06,0.9823721647262573,0.8408644199371338,0.5779953598976135,0.97666996717453
2,0.8464986681938171,0.48977038264274597,7.5e-06,0.9834020137786865,0.8420923352241516,0.5758327841758728,0.9769155383110046
3,0.8446207642555237,0.4928988516330719,1e-05,0.9815241098403931,0.84012770652771,0.5717416405677795,0.9774066805839539
4,0.8432275056838989,0.48634469509124756,1e-05,0.9839471578598022,0.8443025350570679,0.5710066556930542,0.9786345958709717
5,0.847407341003418,0.4880722761154175,9.982876e-06,0.9823116064071655,0.8430746793746948,0.5726704001426697,0.9783890247344971
6,0.8552823066711426,0.45169562101364136,9.931635e-06,0.9867942929267883,0.8403732776641846,0.5798543691635132,0.9781433939933777
7,0.859643816947937,0.4375590682029724,9.846666e-06,0.9846740961074829,0.84012770652771,0.5794403553009033,0.9774066805839539
8,0.8620668649673462,0.4328175485134125,9.7286165e-06,0.9849163889884949,0.8398821353912354,0.581068754196167,0.9781433939933777
9,0.8704264760017395,0.414808988571167,9.578385e-06,0.9871577620506287,0.84012770652771,0.5839467644691467,0.9778978228569031
10,0.8736975789070129,0.40309926867485046,9.397114e-06,0.9872183203697205,0.8393909335136414,0.5900295972824097,0.9774066805839539
11,0.8545553684234619,0.4561886191368103,9.186184e-06,0.9850375652313232,0.8391453623771667,0.5820908546447754,0.9771611094474792
