epoch,accuracy,loss,lr,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.33292949199676514,2.4381251335144043,1e-04,0.7135934233665466,0.5849705338478088,1.6827977895736694,0.8966109752655029
1,0.3924157917499542,2.1187222003936768,1e-04,0.7814393043518066,0.631385087966919,1.3581959009170532,0.9216601252555847
2,0.44039252400398254,1.893074631690979,1e-04,0.8277198672294617,0.6335952877998352,1.2675530910491943,0.917976438999176
3,0.4947904050350189,1.707570195198059,1e-04,0.8560091853141785,0.6569253206253052,1.1712311506271362,0.9250982403755188
4,0.5348315834999084,1.5467419624328613,1e-04,0.880361020565033,0.6903241872787476,1.0703818798065186,0.9339390993118286
5,0.5698449015617371,1.418053150177002,1e-04,0.8996244072914124,0.7094793915748596,1.0120677947998047,0.9390962719917297
6,0.6009207367897034,1.3117731809616089,1e-04,0.9089532494544983,0.6967092156410217,1.033708095550537,0.9361492991447449
7,0.6238187551498413,1.2224173545837402,1e-04,0.9223406910896301,0.7148821353912354,0.9854210615158081,0.9376227855682373
8,0.6566513180732727,1.1280747652053833,1e-04,0.9301550984382629,0.726178765296936,0.981386661529541,0.9420432448387146
9,0.6701599359512329,1.0638149976730347,1e-04,0.9385146498680115,0.7205304503440857,0.9724342226982117,0.9398329854011536
10,0.6845166087150574,1.0269031524658203,1e-04,0.9428761601448059,0.7188113927841187,1.0296353101730347,0.9344302415847778
11,0.7033559679985046,0.9615797996520996,1e-04,0.9485703706741333,0.7043222188949585,1.0790331363677979,0.9366405010223389
12,0.7195904850959778,0.907069206237793,1e-04,0.9518415331840515,0.7283890247344971,1.0263592004776,0.9400785565376282
13,0.7685364484786987,0.7173007726669312,5e-05,0.9704385995864868,0.7536836862564087,0.9458447694778442,0.9484282732009888
14,0.7830142974853516,0.6585641503334045,5e-05,0.9752846956253052,0.7472985982894897,0.9498851895332336,0.9472004175186157
15,0.7955536842346191,0.6405142545700073,5e-05,0.975951075553894,0.7433693408966064,1.0019559860229492,0.9491650462150574
16,0.8143324255943298,0.578233540058136,5e-05,0.9783741235733032,0.7468074560165405,1.0830581188201904,0.9472004175186157
17,0.8290525674819946,0.5159795880317688,2.5e-05,0.983099102973938,0.7654715180397034,0.9655495882034302,0.9518663883209229
18,0.8389265537261963,0.4722834825515747,2.5e-05,0.9870971441268921,0.7679272890090942,0.9874275922775269,0.9506385326385498
19,0.8500726819038391,0.4496200680732727,2.5e-05,0.9866125583648682,0.765717089176178,1.0643893480300903,0.9503929018974304
20,0.865216851234436,0.4061732590198517,1.25e-05,0.9892778992652893,0.7723477482795715,1.0310331583023071,0.9548133611679077
21,0.8657620549201965,0.39248350262641907,1.25e-05,0.9891567826271057,0.7691552042961121,1.0619213581085205,0.9503929018974304
22,0.8726677894592285,0.3749338984489441,1.25e-05,0.9896413683891296,0.7718566060066223,1.060408592224121,0.9523575901985168
23,0.8766658306121826,0.358673095703125,6.25e-06,0.9910346269607544,0.7757858633995056,1.0519412755966187,0.9548133611679077
24,0.8802399039268494,0.3447234630584717,6.25e-06,0.9926096200942993,0.7716109752655029,1.086838960647583,0.9518663883209229
25,0.8799975514411926,0.34449201822280884,6.25e-06,0.9915798306465149,0.776768147945404,1.0732749700546265,0.9523575901985168
26,0.8841773867607117,0.3317524790763855,3.125e-06,0.9932760000228882,0.7748035192489624,1.085267424583435,0.9535854458808899
27,0.8873273730278015,0.3251388967037201,3.125e-06,0.992851972579956,0.7735756635665894,1.1112054586410522,0.9533398747444153
28,0.8894475698471069,0.31640881299972534,3.125e-06,0.9927913546562195,0.7730844616889954,1.1136013269424438,0.9533398747444153
29,0.8917494416236877,0.3138376772403717,1.5625e-06,0.9937605857849121,0.7757858633995056,1.1181062459945679,0.9523575901985168
30,0.8843591213226318,0.3278909921646118,1.5625e-06,0.9926702380180359,0.7765225768089294,1.1118413209915161,0.9528487324714661
31,0.8906590938568115,0.31580850481987,1.5625e-06,0.9917010068893433,0.7748035192489624,1.1278685331344604,0.9523575901985168
32,0.8931427001953125,0.30975621938705444,7.8125e-07,0.9926096200942993,0.7752947211265564,1.1270705461502075,0.9528487324714661
33,0.8892658352851868,0.3173035681247711,7.8125e-07,0.9926702380180359,0.7743123769760132,1.1251649856567383,0.9521119594573975
34,0.8938090801239014,0.3092671036720276,7.8125e-07,0.9931548237800598,0.7760314345359802,1.12519371509552,0.9530943036079407
35,0.8873273730278015,0.3134365677833557,3.90625e-07,0.992851972579956,0.775540292263031,1.1221956014633179,0.9523575901985168
