epoch,accuracy,loss,lr,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.7252846956253052,1.1126739978790283,0.001,0.9020475149154663,0.9219056963920593,0.2426716685295105,0.9972985982894897
1,0.8572207689285278,0.5100651383399963,0.001,0.9826750755310059,0.9250982403755188,0.24669235944747925,0.9960707426071167
2,0.872122585773468,0.45542383193969727,0.001,0.9856433272361755,0.935412585735321,0.2429078072309494,0.9958251714706421
3,0.8807244896888733,0.4308910369873047,0.001,0.9874000549316406,0.9290274977684021,0.2461320459842682,0.9958251714706421
4,0.9036225080490112,0.3362412750720978,0.0005,0.9908528923988342,0.9454813599586487,0.20625907182693481,0.9970530271530151
5,0.9153137803077698,0.2873019874095917,0.0005,0.9944875240325928,0.9410609006881714,0.21928085386753082,0.9965618848800659
6,0.9198570251464844,0.2689296007156372,0.0005,0.9950932860374451,0.943025529384613,0.2131439447402954,0.9965618848800659
7,0.9223406910896301,0.25669971108436584,0.0005,0.9946692585945129,0.9386051297187805,0.22355109453201294,0.9960707426071167
8,0.9300944805145264,0.2306739091873169,0.00025,0.9959413409233093,0.9422888159751892,0.2229125052690506,0.9975442290306091
9,0.9383935332298279,0.20548108220100403,0.00025,0.9967894554138184,0.9427799582481384,0.21450789272785187,0.9968074560165405
